,Primary Situation,neighborhood_district,count
0,113 Cooking fire,Bayview Hunters Point,234
1,113 Cooking fire,Bernal Heights,165
2,113 Cooking fire,Castro/Upper Market,383
3,113 Cooking fire,Chinatown,405
4,113 Cooking fire,Excelsior,107
5,113 Cooking fire,Financial District/South Beach,454
6,113 Cooking fire,Glen Park,84
7,113 Cooking fire,Golden Gate Park,20
8,113 Cooking fire,Haight Ashbury,184
9,113 Cooking fire,Hayes Valley,424
10,113 Cooking fire,Inner Richmond,167
11,113 Cooking fire,Inner Sunset,380
12,113 Cooking fire,Japantown,80
13,113 Cooking fire,Lakeshore,453
14,113 Cooking fire,Lincoln Park,3
15,113 Cooking fire,Lone Mountain/USF,170
16,113 Cooking fire,Marina,296
17,113 Cooking fire,McLaren Park,17
18,113 Cooking fire,Mission,927
19,113 Cooking fire,Mission Bay,245
20,113 Cooking fire,Nob Hill,514
21,113 Cooking fire,Noe Valley,212
22,113 Cooking fire,North Beach,210
23,113 Cooking fire,Oceanview/Merced/Ingleside,163
24,113 Cooking fire,Outer Mission,84
25,113 Cooking fire,Outer Richmond,288
26,113 Cooking fire,Pacific Heights,421
27,113 Cooking fire,Portola,49
28,113 Cooking fire,Potrero Hill,147
29,113 Cooking fire,Presidio Heights,120
30,113 Cooking fire,Russian Hill,250
31,113 Cooking fire,Seacliff,27
32,113 Cooking fire,South of Market,949
33,113 Cooking fire,Sunset/Parkside,387
34,113 Cooking fire,Tenderloin,1747
35,113 Cooking fire,Twin Peaks,146
36,113 Cooking fire,Visitacion Valley,98
37,113 Cooking fire,West of Twin Peaks,289
38,113 Cooking fire,Western Addition,923
39,151 Outside rubbish,Bayview Hunters Point,1152
40,151 Outside rubbish,Bernal Heights,258
41,151 Outside rubbish,Castro/Upper Market,396
42,151 Outside rubbish,Chinatown,224
43,151 Outside rubbish,Excelsior,52
44,151 Outside rubbish,Financial District/South Beach,947
45,151 Outside rubbish,Glen Park,25
46,151 Outside rubbish,Golden Gate Park,192
47,151 Outside rubbish,Haight Ashbury,128
48,151 Outside rubbish,Hayes Valley,328
49,151 Outside rubbish,Inner Richmond,93
50,151 Outside rubbish,Inner Sunset,82
51,151 Outside rubbish,Japantown,46
52,151 Outside rubbish,Lakeshore,61
53,151 Outside rubbish,Lincoln Park,7
54,151 Outside rubbish,Lone Mountain/USF,74
55,151 Outside rubbish,Marina,134
56,151 Outside rubbish,McLaren Park,13
57,151 Outside rubbish,Mission,1576
58,151 Outside rubbish,Mission Bay,183
59,151 Outside rubbish,Nob Hill,357
60,151 Outside rubbish,Noe Valley,57
61,151 Outside rubbish,North Beach,154
62,151 Outside rubbish,Oceanview/Merced/Ingleside,86
63,151 Outside rubbish,Outer Mission,148
64,151 Outside rubbish,Outer Richmond,145
65,151 Outside rubbish,Pacific Heights,100
66,151 Outside rubbish,Portola,87
67,151 Outside rubbish,Potrero Hill,349
68,151 Outside rubbish,Presidio,4
69,151 Outside rubbish,Presidio Heights,32
70,151 Outside rubbish,Russian Hill,137
71,151 Outside rubbish,Seacliff,6
72,151 Outside rubbish,South of Market,931
73,151 Outside rubbish,Sunset/Parkside,249
74,151 Outside rubbish,Tenderloin,1067
75,151 Outside rubbish,Treasure Island,1
76,151 Outside rubbish,Twin Peaks,18
77,151 Outside rubbish,Visitacion Valley,72
78,151 Outside rubbish,West of Twin Peaks,95
79,151 Outside rubbish,Western Addition,430
80,311 Medical assist,Bayview Hunters Point,484
81,311 Medical assist,Bernal Heights,181
82,311 Medical assist,Castro/Upper Market,237
83,311 Medical assist,Chinatown,141
84,311 Medical assist,Excelsior,174
85,311 Medical assist,Financial District/South Beach,481
86,311 Medical assist,Glen Park,41
87,311 Medical assist,Golden Gate Park,130
88,311 Medical assist,Haight Ashbury,100
89,311 Medical assist,Hayes Valley,271
90,311 Medical assist,Inner Richmond,141
91,311 Medical assist,Inner Sunset,233
92,311 Medical assist,Japantown,93
93,311 Medical assist,Lakeshore,218
94,311 Medical assist,Lincoln Park,12
95,311 Medical assist,Lone Mountain/USF,114
96,311 Medical assist,Marina,231
97,311 Medical assist,McLaren Park,14
98,311 Medical assist,Mission,1059
99,311 Medical assist,Mission Bay,136
100,311 Medical assist,Nob Hill,218
101,311 Medical assist,Noe Valley,83
102,311 Medical assist,North Beach,288
103,311 Medical assist,Oceanview/Merced/Ingleside,183
104,311 Medical assist,Outer Mission,162
105,311 Medical assist,Outer Richmond,257
106,311 Medical assist,Pacific Heights,268
107,311 Medical assist,Portola,143
108,311 Medical assist,Potrero Hill,147
109,311 Medical assist,Presidio,38
110,311 Medical assist,Presidio Heights,62
111,311 Medical assist,Russian Hill,150
112,311 Medical assist,Seacliff,7
113,311 Medical assist,South of Market,771
114,311 Medical assist,Sunset/Parkside,508
115,311 Medical assist,Tenderloin,920
116,311 Medical assist,Treasure Island,43
117,311 Medical assist,Twin Peaks,82
118,311 Medical assist,Visitacion Valley,118
119,311 Medical assist,West of Twin Peaks,261
120,311 Medical assist,Western Addition,319
121,322 Motor vehicle accident with injuries,Bayview Hunters Point,898
122,322 Motor vehicle accident with injuries,Bernal Heights,453
123,322 Motor vehicle accident with injuries,Castro/Upper Market,261
124,322 Motor vehicle accident with injuries,Chinatown,145
125,322 Motor vehicle accident with injuries,Excelsior,262
126,322 Motor vehicle accident with injuries,Financial District/South Beach,630
127,322 Motor vehicle accident with injuries,Glen Park,47
128,322 Motor vehicle accident with injuries,Golden Gate Park,352
129,322 Motor vehicle accident with injuries,Haight Ashbury,136
130,322 Motor vehicle accident with injuries,Hayes Valley,406
